Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año;Ubicación
F138 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018;17001 - Manizales
F140 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: INTOXICACION AGUDA;5;4;;;2018;17001 - Manizales
F141 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: USO NOCIVO;1;5;;;2018;17001 - Manizales
F142 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: SINDROME DE DEPENDENCIA;4;16;;;2018;17001 - Manizales
F143 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: ESTADO DE ABSTINENCIA;;3;;;2018;17001 - Manizales
F139 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018;17001 - Manizales
F144 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17001 - Manizales
F145 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO PSICOTICO;;;;;2018;17001 - Manizales
F147 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018;17001 - Manizales
F148 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;3;;;2018;17001 - Manizales
F149 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;5;;;2018;17001 - Manizales
F150 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: INTOXICACION AGUDA;4;1;;;2018;17001 - Manizales
F151 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: USO NOCIVO;1;;;;2018;17001 - Manizales
F152 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: SINDROME DE DEPENDENCIA;;;;;2018;17001 - Manizales
F153 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: ESTADO DE ABSTINENCIA;;;;;2018;17001 - Manizales
F154 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA:. ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17001 - Manizales
F155 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: TRASTORNO PSICOTICO;;;;;2018;17001 - Manizales
F158 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2018;17001 - Manizales
F159 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018;17001 - Manizales
F160 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: INTOXICACION AGUDA;10;10;;;2018;17001 - Manizales
F161 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: USO NOCIVO;5;2;;;2018;17001 - Manizales
F162 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: SINDROME DE DEPENDENCIA;3;11;;;2018;17001 - Manizales
F163 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA;;6;;;2018;17001 - Manizales
F164 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA CON DELIRIO;;2;;;2018;17001 - Manizales
F165 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO PSICOTICO;;3;;;2018;17001 - Manizales
F166 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: SINDROME AMNESICO;;1;;;2018;17001 - Manizales
F167 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018;17001 - Manizales
F168 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;1;3;;;2018;17001 - Manizales
F169 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;11;7;;;2018;17001 - Manizales
F170 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: INTOXICACION AGUDA;;;;;2018;17001 - Manizales
F171 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: USO NOCIVO;4;2;;;2018;17001 - Manizales
F172 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: SINDROME DE DEPENDENCIA;16;12;;;2018;17001 - Manizales
F173 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: ESTADO DE ABSTINENCIA;;1;;;2018;17001 - Manizales
F174 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17001 - Manizales
F177 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018;17001 - Manizales
F178 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;5;2;;;2018;17001 - Manizales
F179 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;3;1;;;2018;17001 - Manizales
F180 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: INTOXICACION AGUDA;1;;;;2018;17001 - Manizales
F181 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: USO NOCIVO;2;1;;;2018;17001 - Manizales
F182 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: SINDROME DE DEPENDENCIA;;1;;;2018;17001 - Manizales
F183 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: ESTADO DE ABSTINENCIA;1;;;;2018;17001 - Manizales
F184 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17001 - Manizales
F185 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: TRASTORNO PSICOTICO;;1;;;2018;17001 - Manizales
F187 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018;17001 - Manizales
F188 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018;17001 - Manizales
F189 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;4;;;2018;17001 - Manizales
F190 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: INTOXICACION AGUDA;17;33;;;2018;17001 - Manizales
F191 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: USO NOCIVO;24;68;;;2018;17001 - Manizales
F192 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME DE DEPENDENCIA;93;347;;;2018;17001 - Manizales
F193 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: ESTADO DE ABSTINENCIA;5;22;;;2018;17001 - Manizales
F194 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17001 - Manizales
F195 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO;3;30;;;2018;17001 - Manizales
F196 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME AMNESICO;1;1;;;2018;17001 - Manizales
F197 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;2;;;2018;17001 - Manizales
F198 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;31;174;;;2018;17001 - Manizales
F199 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;23;100;;;2018;17001 - Manizales
F200 - ESQUIZOFRENIA PARANOIDE;48;170;;;2018;17001 - Manizales
F201 - ESQUIZOFRENIA HEBEFRENICA;1;;;;2018;17001 - Manizales
F202 - ESQUIZOFRENIA CATATONICA;1;3;;;2018;17001 - Manizales
F203 - ESQUIZOFRENIA INDIFERENCIADA;19;61;;;2018;17001 - Manizales
F204 - DEPRESION POSTESQUIZOFRENICA;2;4;;;2018;17001 - Manizales
F205 - ESQUIZOFRENIA RESIDUAL;8;24;;;2018;17001 - Manizales
F206 - ESQUIZOFRENIA SIMPLE;5;8;;;2018;17001 - Manizales
F208 - OTRAS ESQUIZOFRENIAS;81;144;;;2018;17001 - Manizales
F209 - ESQUIZOFRENIA, NO ESPECIFICADA;100;301;;;2018;17001 - Manizales
F21X - TRASTORNO ESQUIZOTIPICO;;;;;2018;17001 - Manizales
F220 - TRASTORNO DELIRANTE;3;3;;;2018;17001 - Manizales
F228 - OTROS TRASTORNOS DELIRANTES PERSISTENTES;2;;;;2018;17001 - Manizales
F229 - TRASTORNO DELIRANTE PERSISTENTE, NO ESPECIFICADO;1;;;;2018;17001 - Manizales
F230 - TRASTORNO PSICOTICO AGUDO POLIMORFO, SIN SINTOMAS DE ESQUIZOFRENIA;2;5;;;2018;17001 - Manizales
F231 - TRASTORNO PSICOTICO AGUDO POLIMORFO, CON SINTOMAS DE ESQUIZOFRENIA;2;11;;;2018;17001 - Manizales
F232 - TRASTORNO PSICOTICO AGUDO DE TIPO ESQUIZOFRENICO;1;3;;;2018;17001 - Manizales
F233 - OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES;3;13;;;2018;17001 - Manizales
F238 - OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS;5;6;;;2018;17001 - Manizales
F239 - TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO DE TIPO ESQUIZOFRENICO;2;4;;;2018;17001 - Manizales
F24X - TRASTORNO DELIRANTE INDUCIDO;;;;;2018;17001 - Manizales
F250 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MANIACO;1;3;;;2018;17001 - Manizales
F251 - TRASTORNO ESQUIZOAFECTIVO DE TIPO DEPRESIVO;4;5;;;2018;17001 - Manizales
F252 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MIXTO;6;2;;;2018;17001 - Manizales
F258 - OTROS TRASTORNOS ESQUIZOAFECTIVOS;5;2;;;2018;17001 - Manizales
F259 - TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO;18;8;;;2018;17001 - Manizales
F28X - OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO;3;2;;;2018;17001 - Manizales
F29X - PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA;2;6;;;2018;17001 - Manizales
F300 - HPOMANIA;8;4;;;2018;17001 - Manizales
F301 - MANIA SIN SINTOMAS PSICOTICOS;;1;;;2018;17001 - Manizales
F302 - MANIA CON SINTOMAS PSICOTICOS;2;;;;2018;17001 - Manizales
F308 - OTROS EPISODIOS MANIACOS;1;3;;;2018;17001 - Manizales
F309 - EPISODIO MANIACO, NO ESPECIFICADO;9;6;;;2018;17001 - Manizales
F310 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE;63;36;;;2018;17001 - Manizales
F311 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS;113;88;;;2018;17001 - Manizales
F312 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS;101;61;;;2018;17001 - Manizales
F313 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO;604;224;;;2018;17001 - Manizales
F314 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;101;32;;;2018;17001 - Manizales
F315 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS;63;38;;;2018;17001 - Manizales
F316 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE;117;40;;;2018;17001 - Manizales
F317 - TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION;448;221;;;2018;17001 - Manizales
F318 - OTROS TRASTORNOS AFECTIVOS BIPOLARES;1.147;777;;;2018;17001 - Manizales
