Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año
F051 - DELIRIO SUPERPUESTO A UN CUADRO DE DEMENCIA;9;8;;;2018
F058 - OTROS DELIRIOS;10;5;;;2018
F059 - DELIRIO, NO ESPECIFICADO;47;35;;;2018
F060 - ALUCINOSIS ORGANICA;1;1;;;2018
F061 - TRASTORNO CATATONICO, ORGANICO;;;;;2018
F062 - TRASTORNO DELIRANTE [ESQUIZOFRENIFORME], ORGANICO;2;;;;2018
F063 - TRASTORNOS DEL HUMOR [AFECTIVOS], ORGANICOS;7;9;;;2018
F064 - TRASTORNO DE ANSIEDAD, ORGANICO;29;15;;;2018
F065 - TRASTORNO DISOCIATIVO, ORGANICO;;;;;2018
F066 - TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO;17;5;;;2018
F067 - TRASTORNO COGNOSCITIVO LEVE;247;151;;;2018
F068 - OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;30;36;;;2018
F069 - TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;30;82;;;2018
F070 - TRASTORNO DE LA PERSONALIDAD, ORGANICO;;;;;2018
F071 - SINDROME POSTENCEFALITICO;;;;;2018
F072 - SINDROME POSTCONCUSIONAL;3;13;;;2018
F078 - OTROS TRASTORNOS ORGANICOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, LESION Y DISFUNCION CEREBRALES;1;6;;;2018
F079 - TRASTORNO ORGANICO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO, NO ESPECIFICADO, DEBIDO A ENFERMEDAD, LESION Y DISFUNCION CEREBRAL;;4;;;2018
F09X - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO;17;29;;;2018
F100 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA;8;18;;;2018
F101 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO;6;24;;;2018
F102 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME DE DEPENDENCIA;6;31;;;2018
F103 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA;1;7;;;2018
F104 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA CON DELIRIO;2;1;;;2018
F105 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO PSICOTICO;;1;;;2018
F106 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME AMNESICO;;;;;2018
F107 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;1;;;2018
F108 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;2;15;;;2018
F109 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;2;8;;;2018
F110 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: INTOXICACION AGUDA;4;1;;;2018
F111 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: USO NOCIVO;1;1;;;2018
F112 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: SINDROME DE DEPENDENCIA;3;6;;;2018
F113 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: ESTADO DE ABSTINENCIA;1;5;;;2018
F114 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F115 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO PSICOTICO;;;;;2018
F117 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;1;;;2018
F118 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;1;;;;2018
F119 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;5;;;2018
F120 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: INTOXICACION AGUDA;3;7;;;2018
F121 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: USO NOCIVO;10;61;;;2018
F122 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME DE DEPENDENCIA;17;93;;;2018
F123 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA;2;11;;;2018
F124 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA CON DELIRIO;;1;;;2018
F125 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO;1;4;;;2018
F126 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME AMNESICO;;;;;2018
F127 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;1;;;2018
F128 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;7;33;;;2018
F129 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;7;20;;;2018
F130 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: INTOXICACION AGUDA;9;7;;;2018
F131 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: USO NOCIVO;2;;;;2018
F132 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: SINDROME DE DEPENDENCIA;4;3;;;2018
F133 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: ESTADO DE ABSTINENCIA;;1;;;2018
F134 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F135 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: TRASTORNO PSICOTICO;;;;;2018
F136 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: SINDROME AMNESICO;;;;;2018
F138 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018
F140 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: INTOXICACION AGUDA;5;4;;;2018
F141 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: USO NOCIVO;1;5;;;2018
F142 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: SINDROME DE DEPENDENCIA;4;16;;;2018
F143 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: ESTADO DE ABSTINENCIA;;3;;;2018
F139 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018
F144 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F145 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO PSICOTICO;;;;;2018
F147 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018
F148 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;3;;;2018
F149 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;5;;;2018
F150 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: INTOXICACION AGUDA;4;1;;;2018
F151 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: USO NOCIVO;1;;;;2018
F152 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: SINDROME DE DEPENDENCIA;;;;;2018
F153 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: ESTADO DE ABSTINENCIA;;;;;2018
F154 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA:. ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F155 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: TRASTORNO PSICOTICO;;;;;2018
F158 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2018
F159 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018
F160 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: INTOXICACION AGUDA;10;10;;;2018
F161 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: USO NOCIVO;5;2;;;2018
F162 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: SINDROME DE DEPENDENCIA;3;11;;;2018
F163 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA;;6;;;2018
F164 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA CON DELIRIO;;2;;;2018
F165 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO PSICOTICO;;3;;;2018
F166 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: SINDROME AMNESICO;;1;;;2018
F167 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018
F168 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;1;3;;;2018
F169 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;11;7;;;2018
F170 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: INTOXICACION AGUDA;;;;;2018
F171 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: USO NOCIVO;4;2;;;2018
F172 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: SINDROME DE DEPENDENCIA;16;12;;;2018
F173 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: ESTADO DE ABSTINENCIA;;1;;;2018
F174 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F177 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018
F178 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;5;2;;;2018
F179 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;3;1;;;2018
F180 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: INTOXICACION AGUDA;1;;;;2018
F181 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: USO NOCIVO;2;1;;;2018
F182 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: SINDROME DE DEPENDENCIA;;1;;;2018
F183 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: ESTADO DE ABSTINENCIA;1;;;;2018
F184 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F185 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: TRASTORNO PSICOTICO;;1;;;2018
F187 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018
F188 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018
F189 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;1;4;;;2018
F190 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: INTOXICACION AGUDA;17;33;;;2018
F191 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: USO NOCIVO;24;68;;;2018
F192 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME DE DEPENDENCIA;93;347;;;2018
F193 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: ESTADO DE ABSTINENCIA;5;22;;;2018
F194 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F195 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO;3;30;;;2018
F196 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME AMNESICO;1;1;;;2018
F197 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;2;;;2018
F198 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;31;174;;;2018
F199 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;23;100;;;2018
F200 - ESQUIZOFRENIA PARANOIDE;48;170;;;2018
F201 - ESQUIZOFRENIA HEBEFRENICA;1;;;;2018
F202 - ESQUIZOFRENIA CATATONICA;1;3;;;2018
F203 - ESQUIZOFRENIA INDIFERENCIADA;19;61;;;2018
F204 - DEPRESION POSTESQUIZOFRENICA;2;4;;;2018
F205 - ESQUIZOFRENIA RESIDUAL;8;24;;;2018
F206 - ESQUIZOFRENIA SIMPLE;5;8;;;2018
F208 - OTRAS ESQUIZOFRENIAS;81;144;;;2018
F209 - ESQUIZOFRENIA, NO ESPECIFICADA;100;301;;;2018
F21X - TRASTORNO ESQUIZOTIPICO;;;;;2018
F220 - TRASTORNO DELIRANTE;3;3;;;2018
F228 - OTROS TRASTORNOS DELIRANTES PERSISTENTES;2;;;;2018
F229 - TRASTORNO DELIRANTE PERSISTENTE, NO ESPECIFICADO;1;;;;2018
F230 - TRASTORNO PSICOTICO AGUDO POLIMORFO, SIN SINTOMAS DE ESQUIZOFRENIA;2;5;;;2018
F231 - TRASTORNO PSICOTICO AGUDO POLIMORFO, CON SINTOMAS DE ESQUIZOFRENIA;2;11;;;2018
F232 - TRASTORNO PSICOTICO AGUDO DE TIPO ESQUIZOFRENICO;1;3;;;2018
F233 - OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES;3;13;;;2018
F238 - OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS;5;6;;;2018
F239 - TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO DE TIPO ESQUIZOFRENICO;2;4;;;2018
F24X - TRASTORNO DELIRANTE INDUCIDO;;;;;2018
F250 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MANIACO;1;3;;;2018
F251 - TRASTORNO ESQUIZOAFECTIVO DE TIPO DEPRESIVO;4;5;;;2018
F252 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MIXTO;6;2;;;2018
F258 - OTROS TRASTORNOS ESQUIZOAFECTIVOS;5;2;;;2018
F259 - TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO;18;8;;;2018
F28X - OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO;3;2;;;2018
F29X - PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA;2;6;;;2018
F300 - HPOMANIA;8;4;;;2018
F301 - MANIA SIN SINTOMAS PSICOTICOS;;1;;;2018
F302 - MANIA CON SINTOMAS PSICOTICOS;2;;;;2018
F308 - OTROS EPISODIOS MANIACOS;1;3;;;2018
F309 - EPISODIO MANIACO, NO ESPECIFICADO;9;6;;;2018
F310 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE;63;36;;;2018
F311 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS;113;88;;;2018
F312 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS;101;61;;;2018
F313 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO;604;224;;;2018
F314 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;101;32;;;2018
F315 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS;63;38;;;2018
F316 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE;117;40;;;2018
F317 - TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION;448;221;;;2018
F318 - OTROS TRASTORNOS AFECTIVOS BIPOLARES;1.147;777;;;2018
F319 - TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO;873;587;;;2018
F320 - EPISODIO DEPRESIVO LEVE;393;129;;;2018
F321 - EPISODIO DEPRESIVO MODERADO;1.643;653;;1;2018
F322 - EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS;339;173;;;2018
F323 - EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS;48;28;;;2018
F328 - OTROS EPISODIOS DEPRESIVOS;359;126;;;2018
F329 - EPISODIO DEPRESIVO, NO ESPECIFICADO;464;170;;;2018
F330 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE;73;23;;;2018
F331 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE;948;302;;;2018
F332 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;146;75;;;2018
F333 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE, CON SINTOMAS PSICOTICOS;22;10;;;2018
F334 - TRASTORNO DEPRESIVO RECURRENTE ACTUALMENTE EN REMISION;86;27;;;2018
F338 - OTROS TRASTORNOS DEPRESIVOS RECURRENTES;148;55;;;2018
F339 - TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO;863;348;;;2018
F340 - CICLOTIMIA;21;2;;;2018
F341 - DISTIMIA;20;10;;;2018
F348 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS] PERSISTENTES;11;6;;;2018
F349 - TRASTORNO PERSISTENTE DEL HUMOR [AFECTIVO], NO ESPECIFICADO;16;11;;;2018
F380 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], AISLADOS;2;3;;;2018
F381 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], RECURRENTES;10;1;;;2018
F388 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], ESPECIFICADOS;12;6;;;2018
F39X - TRASTORNO DEL HUMOR [AFECTIVO], NO ESPECIFICADO;123;70;;;2018
F400 - AGORAFOBIA;3;2;;;2018
F401 - FOBIAS SOCIALES;7;7;;;2018
F402 - FOBIAS ESPECIFICADAS [AISLADAS];5;5;;;2018
F408 - OTROS TRASTORNOS FOBICOS DE ANSIEDAD;10;5;;;2018
F409 - TRASTORNO FOBICO DE ANSIEDAD, NO ESPECIFICADO;11;7;;;2018
F410 - TRASTORNO DE PANICO [ANSIEDAD PAROXISTICA EPISODICA];96;39;;;2018
F411 - TRASTORNO DE ANSIEDAD GENERALIZADA;334;170;;;2018
F412 - TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION;2.106;704;;;2018
F413 - OTROS TRASTORNOS DE ANSIEDAD MIXTOS;180;73;;;2018
F418 - OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS;273;123;;;2018
F419 - TRASTORNO DE ANSIEDAD , NO ESPECIFICADO;1.244;612;;1;2018
