;AÑOS;;;;;;
C311 - TUMOR MALIGNO DEL SENO ETMOIDAL;1;;2;;1;;4
C312 - TUMOR MALIGNO DEL SENO FRONTAL;;;1;;;;1
C313 - TUMOR MALIGNO DEL SENO ESFENOIDAL;;;;;;;
C318 - LESION DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES;6;5;7;6;4;1;29
C319 - TUMOR MALIGNO DEL SENO PARANASAL NO ESPECIFICADO;2;;1;2;1;1;7
C320 - TUMOR MALIGNO DE LA GLOTIS;2;9;7;7;2;13;40
C321 - TUMOR MALIGNO DE LA REGION SUPRAGLOTICA;;1;;1;;1;3
C322 - TUMOR MALIGNO DE LA REGION SUBGLOTICA;;1;;1;;;2
C323 - TUMOR MALIGNO DEL CARTILAGO LARINGEO;1;2;;1;;6;10
C328 - LESION DE SITIOS CONTIGUOS DE LA LARINGE;10;4;15;6;3;6;44
C329 - TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA;4;16;4;20;5;20;69
C33X - TUMOR MALIGNO DE LA TRAQUEA;1;;;;;2;3
C340 - TUMOR MALIGNO DEL BRONQUIO PRINCIPAL;2;5;2;3;;2;14
C341 - TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON;12;14;12;17;18;18;91
C342 - TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON;5;2;2;4;5;8;26
C343 - TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON;14;12;10;19;10;10;75
C348 - LESION DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON;10;6;13;13;22;16;80
C349 - TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;29;30;24;43;39;44;209
C37X - TUMOR MALIGNO DEL TIMO;2;1;5;;4;1;13
C380 - TUMOR MALIGNO DEL CORAZON;1;1;1;;1;;4
C381 - TUMOR MALIGNO DEL MEDIASTINO ANTERIOR;3;;3;1;4;1;12
C382 - TUMOR MALIGNO DEL MEDIASTINO POSTERIOR;;;;1;;;1
C383 - TUMOR MALIGNO DEL MEDIASTINO, PARTE NO ESPECIFICADA;4;5;4;3;1;1;18
C384 - TUMOR MALIGNO DE LA PLEURA;2;1;4;4;2;1;14
C388 - LESION DE SITIOS CONTIGUOS DEL CORAZON, DEL MEDIASTINO Y DE LA PLEURA;1;1;2;2;3;2;11
C390 - TUMOR MALIGNO DE LAS VIAS RESPIRATORIAS SUPERIORES, PARTE NO ESPECIFICADA;;;;;1;1;2
C398 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS RESPIRATORIOS E INTRATORACICOS;1;;1;1;1;1;5
C399 - TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO;;;;;;;
C400 - TUMOR MALIGNO DEL OMOPLATO Y DE LOS HUESOS LARGOS DEL MIEMBRO SUPERIOR;2;;;2;1;2;7
C401 - TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR;;2;;1;1;;4
C402 - TUMOR MALIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR;8;4;8;6;6;7;39
C403 - TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR;2;1;2;2;;;7
C408 - LESION DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS;4;;4;;3;1;12
C409 - TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS, SIN OTRA ESPECIFICACION;3;4;4;5;1;3;20
C410 - TUMOR MALIGNO DE LOS HUESOS DEL CRANEO Y DE LA CARA;2;1;3;1;;2;9
C411 - TUMOR MALIGNO DEL HUESO DEL MAXILAR INFERIOR;;2;;1;;1;4
C412 - TUMOR MALIGNO DE LA COLUMNA VERTEBRAL;8;4;11;7;6;5;41
C413 - TUMOR MALIGNO DE LA COSTILLA, ESTERNON Y CLAVICULA;2;;3;1;1;1;8
C414 - TUMOR MALIGNO DE LOS HUESOS DE LA PELVIS, SACRO Y COCCIX;1;4;5;5;1;3;19
C418 - LESION DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTILAGO ARTICULAR;3;1;3;3;4;1;15
C419 - TUMOR MALIGNO DE HUESO Y DEL CARTILAGO ARTICULAR, NO ESPECIFICADO;2;1;4;2;3;1;13
C430 - MELANOMA MALIGNO DEL LABIO;2;1;1;1;;1;6
C431 - MELANOMA MALIGNO DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL;2;;1;;2;1;6
C432 - MELANOMA MALIGNO DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;;1;;1;;1;3
C433 - MELANOMA MALIGNO DE LAS OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA;14;6;19;11;13;11;74
C434 - MELANOMA MALIGNO DEL CUERO CABELLUDO Y DEL CUELLO;2;3;2;5;3;6;21
C435 - MELANOMA MALIGNO DEL TRONCO;8;17;10;18;5;16;74
C436 - MELANOMA MALIGNO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;11;3;12;6;11;6;49
C437 - MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;23;9;24;8;20;7;91
C438 - MELANOMA MALIGNO DE SITIOS CONTIGUOS DE LA PIEL;;2;5;1;2;2;12
C439 - MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO;13;14;18;10;10;10;75
C440 - TUMOR MALIGNO DE LA PIEL DEL LABIO;;;2;1;2;3;8
C441 - TUMOR MALIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL;7;8;14;10;20;12;71
C442 - TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;4;5;6;16;6;13;50
C443 - TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;365;329;518;460;304;309;2.285
C444 - TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO;19;23;27;33;13;24;139
C445 - TUMOR MALIGNO DE LA PIEL DEL TRONCO;22;19;30;33;11;24;139
C446 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;18;7;18;18;14;12;87
C447 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;14;12;16;10;15;11;78
C449 - TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO;38;54;46;55;29;28;250
C470 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DE LA CABEZA, CARA Y CUELLO;1;;;;;;1
C471 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;;;;1;;1
C472 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;1;;;;;;1
C473 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL TORAX;;;1;;;;1
C474 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL ABDOMEN;;;;;;;
C475 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DE LA PELVIS;;;;;;;
C478 - LESION DE SITIOS CONTIGUOS DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO;;;1;3;1;2;7
C479 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO, PARTE NO ESPECIFICADA;;;;;;;
C480 - TUMOR MALIGNO DEL RETROPERITONEO;3;9;6;10;10;6;44
C481 - TUMOR MALIGNO DE PARTE ESPECIFICADA DEL PERITONEO;2;;2;3;3;2;12
C482 - TUMOR MALIGNO DEL PERITONEO, SIN OTRA ESPECIFICACION;2;1;5;2;3;1;14
C490 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO;6;3;3;4;4;6;26
C491 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;7;1;4;;6;3;21
C492 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;9;9;7;10;10;11;56
C493 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TORAX;5;2;1;3;2;;13
C494 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN;4;4;1;5;7;4;25
C495 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA PELVIS;4;1;2;1;2;2;12
C496 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TRONCO, SIN OTRA ESPECIFICACION;2;;;;;1;3
C499 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO;2;;2;2;2;;8
C500 - TUMOR MALIGNO DEL PEZON Y AREOLA MAMARIA;6;1;7;1;19;1;35
C501 - TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA;68;1;81;4;87;3;244
C502 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA;83;1;102;;125;1;312
C503 - TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA;31;;30;;43;;104
C504 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA;375;3;392;3;451;5;1.229
C505 - TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA;42;;56;2;75;1;176
C506 - TUMOR MALIGNO DE LA PROLONGACION AXILAR DE LA MAMA;10;1;9;;3;;23
C509 - TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;645;7;805;6;732;8;2.203
C510 - TUMOR MALIGNO DEL LABIO MAYOR;;;;;1;;1
C512 - TUMOR MALIGNO DEL CLITORIS;;;;;;;
C519 - TUMOR MALIGNO DE LA VULVA, PARTE NO ESPECIFICADA;5;;7;;12;;24
C52X - TUMOR MALIGNO DE LA VAGINA;9;;4;;8;;21
C530 - TUMOR MALIGNO DEL ENDOCERVIX;51;;58;;47;;156
C531 - TUMOR MALIGNO DE EXOCERVIX;118;;135;;136;;389
C539 - TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;53;;62;;39;;154
C540 - TUMOR MALIGNO DEL ISTMO UTERINO;2;;1;;2;;5
C541 - TUMOR MALIGNO DEL ENDOMETRIO;119;;118;;126;;363
C542 - TUMOR MALIGNO DEL MIOMETRIO;;;1;;3;;4
C543 - TUMOR MALIGNO DEL FONDO DEL UTERO;1;;;;1;;2
C549 - TUMOR MALIGNO DEL CUERPO DEL UTERO, PARTE NO ESPECIFICADA;9;;6;;8;;23
C55X - TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA;12;;15;;11;;38
C56X - TUMOR MALIGNO DEL OVARIO;116;;137;;140;;393
C570 - TUMOR MALIGNO DE LA TROMPA DE FALOPIO;;;4;;1;;5
C571 - TUMOR MALIGNO DEL LIGAMENTO ANCHO;1;;;;;;1
C574 - TUMOR MALIGNO DE LOS ANEXOS UTERINOS, SIN OTRA ESPECIFICACIÓN;2;;;;1;;3
C577 - TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DE LOS ORGANOS GENITALES FEMENINOS;1;;1;;;;2
C579 - TUMOR MALIGNO DE ORGANO GENITAL FEMENINO, PARTE NO ESPECIFICADA;1;;1;;2;;4
C58X - TUMOR MALIGNO DE LA PLACENTA;1;;2;;1;;4
C600 - TUMOR MALIGNO DEL PREPUCIO;;;;;;2;2
C601 - TUMOR MALIGNO DEL GLANDE;;;;1;;1;2
C602 - TUMOR MALIGNO DEL CUERPO DEL PENE;;2;;3;;4;9
C608 - LESION DE SITIOS CONTIGUOS DEL PENE;;24;;47;;39;110
C609 - TUMOR MALIGNO DEL PENE, PARTE NO ESPECIFICADA;;2;;6;;8;16
C61X - TUMOR MALIGNO DE LA PROSTATA;;544;;699;;713;1.956
C620 - TUMOR MALIGNO DEL TESTICULO NO DESCENDIDO;;2;;4;;4;10
C621 - TUMOR MALIGNO DEL TESTICULO DESCENDIDO;;38;;50;;39;127
C629 - TUMOR MALIGNO DEL TESTICULO, NO ESPECIFICADO;;24;;15;;27;66
C630 - TUMOR MALIGNO DEL EPIDIDIMO;;1;;;;;1
C632 - TUMOR MALIGNO DEL ESCROTO;;1;;1;;;2
C637 - TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DE LOS ORGANOS GENITALES MASCULINOS;;1;;1;;;2
C638 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS;;25;;13;;19;57
C639 - TUMOR MALIGNO DE ORGANO GENITAL MASCULINO, PARTE NO ESPECIFICADA;;1;;;;;1
C64X - TUMOR MALIGNO DEL RIÑON, EXCEPTO DE LA PELVIS RENAL;51;51;56;53;60;54;325
C65X - TUMOR MALIGNO DE LA PELVIS RENAL;11;4;7;3;7;6;38
C66X - TUMOR MALIGNO DEL URETER;1;;1;;4;1;7
C670 - TUMOR MALIGNO DEL TRIGONO VESICAL;1;;1;2;;1;5
C671 - TUMOR MALIGNO DE LA CUPULA VESICAL;;1;1;;3;1;6
C672 - TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA;3;6;7;9;2;12;39
C673 - TUMOR MALIGNO DE LA PARED ANTERIOR DE LA VEJIGA;;2;2;2;2;3;11
C674 - TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA;;3;1;8;1;5;18
C675 - TUMOR MALIGNO DEL CUELLO DE LA VEJIGA;1;3;1;2;1;2;10
C676 - TUMOR MALIGNO DEL ORIFICIO URETERAL;;;;;1;;1
C678 - LESION DE SITIOS CONTIGUOS DE LA VEJIGA;4;1;4;3;3;;15
C679 - TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA;33;47;31;52;29;46;238
C680 - TUMOR MALIGNO DE LA URETRA;1;;1;1;2;2;7
C688 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS URINARIOS;;1;1;1;1;;4
C689 - TUMOR MALIGNO DE ORGANO URINARIO NO ESPECIFICADO;;1;1;;1;;3
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;8;8;10;12;7;12;57
C691 - TUMOR MALIGNO DE LA CORNEA;1;1;2;;2;1;7
C692 - TUMOR MALIGNO DE LA RETINA;2;1;1;1;1;1;7
C693 - TUMOR MALIGNO DE LA COROIDES;5;1;6;1;4;;17
C694 - TUMOR MALIGNO DEL CUERPO CILIAR;1;;;;;;1
C695 - TUMOR MALIGNO DE LA GLANDULA Y CONDUCTO LAGRIMALES;1;;;;1;1;3
C696 - TUMOR MALIGNO DE LA ORBITA;5;2;6;5;4;4;26
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;42;22;32;28;20;27;171
C699 - TUMOR MALIGNO DEL OJO, PARTE NO ESPECIFICADA;4;1;5;2;5;4;21
C700 - TUMOR MALIGNO DE LAS MENINGES CEREBRALES;7;2;4;1;6;2;22
C701 - TUMOR MALIGNO DE LAS MENINGES RAQUIDEAS;;2;;;;;2
C709 - TUMOR MALIGNO DE LAS MENINGES, PARTE NO ESPECIFICADA;1;;1;1;;1;4
C710 - TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS;15;27;21;20;17;24;124
C711 - TUMOR MALIGNO DEL LOBULO FRONTAL;4;11;10;11;10;8;54
C712 - TUMOR MALIGNO DEL LOBULO TEMPORAL;6;4;10;5;10;4;39
C713 - TUMOR MALIGNO DEL LOBULO PARIETAL;2;3;7;2;2;1;17
